行ID	話者	文	音声記号列	読み	出どころ
c802-2		海の上の船の動きを見守り、無線で知らせる所だ。	う'みの/うえのふ'ねの/うごき'を/みまもり、むせんで/しらせるところ'だ。	うみのうえのふねのうごきをみまもり、むせんでしらせるところだ。	auto
c802-3		ここから9時37分まで、31分の交信が続く。	ここから'/く'じ/さんじゅーなな'ふんまで、さんじゅーい'っぷんの/こーしんが/つずく。	ここからくじさんじゅーななふんまで、さんじゅーいっぷんのこーしんがつずく。	auto
c803-1		9時13分。近くを走っていた別の船が、助けに向かいながら無線で呼びかけた。	く'じ/じゅーさ'んぷん。ち'かくを/はし'っていた/べつの/ふ'ねが、たすけ'に/むかいな'がら/むせんで/よびか'けた。	くじじゅーさんぷん。ちかくをはしっていたべつのふねが、たすけにむかいながらむせんでよびかけた。	auto
c803-2		「脱出すれば、私たちが救助します」	だっしゅつすれ'ば、わたし'たちが/きゅ'ーじょします。	だっしゅつすれば、わたしたちがきゅーじょします。	auto
c804-1		9時14分。管制センターが、乗客は脱出できるかと尋ねた。	く'じ/じゅーよ'んぷん。かんせーせ'んたーが、じょーきゃくわ/だっしゅつ/でき'るかと/たず'ねた。	くじじゅーよんぷん。かんせーせんたーが、じょーきゃくわだっしゅつできるかとたずねた。	auto
c804-2	q	船の答えは？	ふ'ねの/こた'えわ？	ふねのこたえわ？	auto
c804-3		船が大きく傾いて脱出は不可能、という趣旨だった。	ふ'ねが/お'ーきく/かたむ'いて/だっしゅつわ/ふか'のー、と/いう/しゅ'しだった。	ふねがおーきくかたむいてだっしゅつわふかのー、というしゅしだった。	auto
c805-1		管制センターは、海洋警察の警備艇が来るまで15分だと伝え、こう頼んだ。	かんせーせ'んたーわ、かいよーけ'ーさつの/けーびてーが/く'るまで/じゅーご'ふんだと/つたえ、こー/たの'んだ。	かんせーせんたーわ、かいよーけーさつのけーびてーがくるまでじゅーごふんだとつたえ、こーたのんだ。	auto
c805-2		放送ができなくても、船員が出向いて、乗客に救命胴衣と厚着を伝えてほしい。	ほーそーが/でき'なくても、せんいんが/でむいて、じょーきゃくに/きゅーめーど'ーいと/あつぎを/つたえてほしい。	ほーそーができなくても、せんいんがでむいて、じょーきゃくにきゅーめーどーいとあつぎをつたえてほしい。	auto
c806-1		9時24分。管制センターは、救命胴衣を着るよう放送してほしいと求めた。	く'じ/にじゅーよ'んぷん。かんせーせ'んたーわ、きゅーめーど'ーいを/きるよ'ー/ほーそーしてほしいと/もと'めた。	くじにじゅーよんぷん。かんせーせんたーわ、きゅーめーどーいをきるよーほーそーしてほしいともとめた。	auto
c806-2		船の答えは、「放送が不可能な状態」という趣旨だった。	ふ'ねの/こた'えわ、ほーそーが/ふか'のーな/じょーたいと/いう/しゅ'しだった。	ふねのこたえわ、ほーそーがふかのーなじょーたいというしゅしだった。	auto
c807-1		報告書は、この答えに注を付けている。	ほーこくしょわ、この/こた'えに/ちゅーを/つ'けている。	ほーこくしょわ、このこたえにちゅーをつけている。	auto
c807-2		「放送が不可能」と答えたが、放送はできた	ほーそーが/ふか'のーと/こた'えたが、ほーそーわ/で'きた。	ほーそーがふかのーとこたえたが、ほーそーわできた。	auto
c808-1	q	えっ、できたの？	え'っ、で'きたの？	えっ、できたの？	auto
c808-2		報告書の注によれば、このときまで非常用の電源が送られ、船内の放送はできた。	ほーこくしょの/ちゅーに/よれ'ば、このと'きまで/ひじょ'ーよーの/でんげんが/おくられ、せ'んないの/ほーそーわ/で'きた。	ほーこくしょのちゅーによれば、このときまでひじょーよーのでんげんがおくられ、せんないのほーそーわできた。	auto
c808-3		判決も、操舵室の設備などで、そこにいた船員なら誰でも簡単にできたと書く。	はんけつも、そーだ'しつの/せ'つびなどで、そこに/いた'/せんいんな'ら/だ'れでも/かんたんに/で'きたと/か'く。	はんけつも、そーだしつのせつびなどで、そこにいたせんいんならだれでもかんたんにできたとかく。	auto
c809-1		同じ9時24分、近くの船の船長からも、無線が入った。	おなじ/く'じ/にじゅーよ'んぷん、ち'かくの/ふ'ねの/せ'んちょーからも、むせんが/は'いった。	おなじくじにじゅーよんぷん、ちかくのふねのせんちょーからも、むせんがはいった。	auto
c809-2		浮き輪でもいいから着けさせて、早く脱出させてほしい、という交信だった。	うきわで'も/いい'から/つけさ'せて、は'やく/だっしゅつさせてほしい、と/いう/こーしんだ'った。	うきわでもいいからつけさせて、はやくだっしゅつさせてほしい、というこーしんだった。	auto
c810-1		9時25分。管制センターは、船長に向けてこう呼びかけた。	く'じ/にじゅーご'ふん。かんせーせ'んたーわ、せ'んちょーに/むけて/こー/よびか'けた。	くじにじゅーごふん。かんせーせんたーわ、せんちょーにむけてこーよびかけた。	auto
c810-2		船長が判断して、脱出させるか早く決めて	せ'んちょーが/は'んだんして、だっしゅつさせ'るか/は'やく/きめて。	せんちょーがはんだんして、だっしゅつさせるかはやくきめて。	auto
c811-1		セウォル号の答えは、問い返しだった。	せうぉる'ごーの/こた'えわ、といか'えしだった。	せうぉるごーのこたえわ、といかえしだった。	auto
c811-2		今脱出したら、すぐに救助できるのか、という趣旨だった。	い'ま/だっしゅつした'ら、す'ぐに/きゅ'ーじょ/でき'るのか、と/いう/しゅ'しだった。	いまだっしゅつしたら、すぐにきゅーじょできるのか、というしゅしだった。	auto
c812-1		9時26分。管制センターは、警備艇が10分以内に着くと伝えた。	く'じ/にじゅーろ'っぷん。かんせーせ'んたーわ、けーびてーが/じゅ'っぷん/い'ないに/つ'くと/つたえた'。	くじにじゅーろっぷん。かんせーせんたーわ、けーびてーがじゅっぷんいないにつくとつたえた。	auto
c812-2		近くの漁船も、助けに向かっていた。	ち'かくの/ぎょせんも、たすけ'に/むかっていた'。	ちかくのぎょせんも、たすけにむかっていた。	auto
c812-3	q	船長は、どうしてたの？	せ'んちょーわ、ど'ーしてたの？	せんちょーわ、どーしてたの？	auto
c813-1		判決によれば、そのころ2等航海士から何度も「どうしましょうか」と聞かれていた。	はんけつに/よれ'ば、そのこ'ろ/にとーこ'ーかいしから/な'んども/ど'ーしましょーかと/きかれていた'。	はんけつによれば、そのころにとーこーかいしからなんどもどーしましょーかときかれていた。	auto
c813-2		3階の乗務員からも、無線で乗客の避難を何度も求められた。	さんがいの/じょーむ'いんからも、むせんで/じょーきゃくの/ひ'なんを/な'んども/もとめら'れた。	さんがいのじょーむいんからも、むせんでじょーきゃくのひなんをなんどももとめられた。	auto
c813-3		船長は、そのどれにも取り合わなかった。	せ'んちょーわ、その/ど'れにも/とりあわ'なかった。	せんちょーわ、そのどれにもとりあわなかった。	auto
c814-1		判決は、韓国の大学の研究所が行った、脱出の模擬実験の結果を引いている。	はんけつわ、か'んこくの/だいがくの/けんきゅーじょ'が/おこなった、だっしゅつの/もぎじ'っけんの/けっかを/ひいている'。	はんけつわ、かんこくのだいがくのけんきゅーじょがおこなった、だっしゅつのもぎじっけんのけっかをひいている。	auto
c814-2		コンピューターで、人が船から逃げる動きを再現したものだ。	こんぴゅ'ーたーで、ひとが/ふ'ねから/にげ'る/うごき'を/さいげんした'ものだ。	こんぴゅーたーで、ひとがふねからにげるうごきをさいげんしたものだ。	auto
c815-1		船が52.2度傾いた中で逃げ始めれば、客室の人は約9分28秒で逃げ終えられる。	ふ'ねが/ごじゅーにーてんに'ど/かたむ'いたなかで/にげはじめ'れば、きゃくしつの/ひとわ/や'く/きゅ'ーふん/にじゅーはち'びょーで/にげおえられ'る。	ふねがごじゅーにーてんにどかたむいたなかでにげはじめれば、きゃくしつのひとわやくきゅーふんにじゅーはちびょーでにげおえられる。	auto
c815-2		そういう結果だった。	そーゆう/けっかだ'った。	そーゆうけっかだった。	auto
c816-1		そこから、判決はこう結論づけている。	そこから'、はんけつわ/こ'ー/けつろんず'けている。	そこから、はんけつわこーけつろんずけている。	auto
c816-2		9時26分までに逃げ始めれば、出られた	く'じ/にじゅーろ'っぷんまでに/にげはじめ'れば、でら'れた。	くじにじゅーろっぷんまでににげはじめれば、でられた。	auto
c817-1	q	つまり、まだ間に合う時刻？	つ'まり、ま'だ/まにあ'う/じ'こく？	つまり、まだまにあうじこく？	auto
c817-2		3階と4階の出入口が水につかる前に、船の外へ出られた、という意味だ。	さんがいと/よんかいの/でいり'ぐちが/みずに/つかる/ま'えに、ふ'ねの/そ'とえ/でら'れた、と/いう/い'みだ。	さんがいとよんかいのでいりぐちがみずにつかるまえに、ふねのそとえでられた、といういみだ。	auto
c817-3		9時26分は、「警備艇が10分以内に着く」と伝えられた時刻でもある。	く'じ/にじゅーろ'っぷんわ、けーびてーが/じゅ'っぷん/い'ないに/つ'くと/つたえら'れた/じ'こくでもある。	くじにじゅーろっぷんわ、けーびてーがじゅっぷんいないにつくとつたえられたじこくでもある。	auto
c818-1		9時37分、最後の交信。船は、左へ約60度傾いている、と伝えた。	く'じ/さんじゅーなな'ふん、さ'いごの/こーしん。ふ'ねわ、ひだりえ/や'く/ろくじゅ'ーど/かたむ'いている、と/つたえた'。	くじさんじゅーななふん、さいごのこーしん。ふねわ、ひだりえやくろくじゅーどかたむいている、とつたえた。	auto
c818-2		判決によれば、そのあと船長たちは呼びかけに答えず、警備艇が近づくのを待った。	はんけつに/よれ'ば、その'あと/せ'んちょーたちわ/よびか'けに/こた'えず、けーびてーが/ちかず'くのを/ま'った。	はんけつによれば、そのあとせんちょーたちわよびかけにこたえず、けーびてーがちかずくのをまった。	auto
c901-1		助けに向かった海洋警察の警備艇の1つに、123艇という船があった。	たすけ'に/むかった'/かいよーけ'ーさつの/けーびてーの/ひと'つに、ひゃくにじゅーさんてーと/いう/ふ'ねが/あ'った。	たすけにむかったかいよーけーさつのけーびてーのひとつに、ひゃくにじゅーさんてーというふねがあった。	auto
c901-2		この章は、艇長のキム・ギョンイルへの判決から見ていく。	この/しょ'ーわ、て'ーちょーの/きむぎょ'んいるえの/はんけつから'/み'ていく。	このしょーわ、てーちょーのきむぎょんいるえのはんけつからみていく。	auto
c902-1	q	その艇は、何を知ってたの？	そのてーわ、な'にを/しって'たの？	そのてーわ、なにをしってたの？	auto
c902-2		9時18分、セウォル号には約450人が乗っていると、無線で知らされていた。	く'じ/じゅーは'っぷん、せうぉる'ごーにわ/や'く/よんひゃくごじゅーに'んが/のっている'と、むせんで/しらされていた'。	くじじゅーはっぷん、せうぉるごーにわやくよんひゃくごじゅーにんがのっていると、むせんでしらされていた。	auto
c902-3		ただ、その船とは、一度も交信しなかった。	た'だ、その/ふ'ねとわ、いちど'も/こーしんしな'かった。	ただ、そのふねとわ、いちどもこーしんしなかった。	auto
c903-1		9時30分ごろ、123艇は、現場の約1.9キロ（1マイル）手前に着いた。	く'じ/さんじゅっぷんご'ろ、ひゃくにじゅーさんてーわ、げんばの/や'く/いってんきゅ'ーきろ、いちま'いる/てまえに/つ'いた。	くじさんじゅっぷんごろ、ひゃくにじゅーさんてーわ、げんばのやくいってんきゅーきろ、いちまいるてまえについた。	auto
c903-2		艇長は双眼鏡で、甲板にも海にも、乗客の姿が見えないことを確かめた。	て'ーちょーわ/そーがんきょーで、かんぱんに'も/う'みにも、じょーきゃくの/す'がたが/みえ'ないことを/たしか'めた。	てーちょーわそーがんきょーで、かんぱんにもうみにも、じょーきゃくのすがたがみえないことをたしかめた。	auto
c904-1	q	つまり、まだ船の中？	つ'まり、ま'だ/ふ'ねのなか？	つまり、まだふねのなか？	auto
c904-2		450人ほどの乗客のほとんどが、船の中にいる。	よんひゃくごじゅーにんほど'の/じょーきゃくの/ほと'んどが、ふ'ねのなかに/いる。	よんひゃくごじゅーにんほどのじょーきゃくのほとんどが、ふねのなかにいる。	auto
c904-3		艇長はそれを分かっていた、と判決は認めている。	て'ーちょーわ/それを/わか'っていた、と/はんけつわ/みとめている'。	てーちょーわそれをわかっていた、とはんけつわみとめている。	auto
c905-1		9時30分には、最初に着いた海洋警察のヘリが、救助を始めていた。	く'じ/さんじゅ'っぷんにわ、さいしょに/つ'いた/かいよーけ'ーさつの/へ'りが、きゅ'ーじょを/はじめていた'。	くじさんじゅっぷんにわ、さいしょについたかいよーけーさつのへりが、きゅーじょをはじめていた。	auto
c905-2		最高裁判所の判決で、裁判官が書き足した意見に、そうある。	さいこーさいばんしょの/はんけつで、さいば'んかんが/かきたした'/い'けんに、そー/あ'る。	さいこーさいばんしょのはんけつで、さいばんかんがかきたしたいけんに、そーある。	auto
c906-1		123艇が現場に着いた時刻は、資料によって4通りある。	ひゃくにじゅーさんてーが/げんばに/つ'いた/じ'こくわ、し'りょーによって/よと'ーり/あ'る。	ひゃくにじゅーさんてーがげんばについたじこくわ、しりょーによってよとーりある。	auto
c906-2		この動画では、同じ判決の「9時35分ごろ、現場に着いた」を使う。	この/どーがで'わ、おなじ/はんけつの/く'じ/さんじゅーごふんご'ろ、げんばに/ついたを/つかう。	このどーがでわ、おなじはんけつのくじさんじゅーごふんごろ、げんばについたをつかう。	auto
c907-1		報告書では、船の傾きは、9時34分に52.2度、9時46分に61.2度。	ほーこくしょで'わ、ふ'ねの/かたむきわ、く'じ/さんじゅーよ'んぷんに/ごじゅーにーてんに'ど、く'じ/よんじゅーろ'っぷんに/ろくじゅーいってんに'ど。	ほーこくしょでわ、ふねのかたむきわ、くじさんじゅーよんぷんにごじゅーにーてんにど、くじよんじゅーろっぷんにろくじゅーいってんにど。	auto
c907-2		傾きは、止まらずに大きくなっていた。	かたむきわ、とまら'ずに/お'ーきくなっていた。	かたむきわ、とまらずにおーきくなっていた。	auto
c908-1		9時38分から39分ごろ、123艇のゴムボートが、初めて船に横づけした。	く'じ/さんじゅーは'っぷんから/さんじゅーきゅーふんご'ろ、ひゃくにじゅーさんてーの/ごむぼ'ーとが、はじ'めて/ふ'ねに/よこずけした'。	くじさんじゅーはっぷんからさんじゅーきゅーふんごろ、ひゃくにじゅーさんてーのごむぼーとが、はじめてふねによこずけした。	auto
c908-2		そのときの映像では、ボートで立った乗組員の頭が、3階の手すりの高さにあった。	そのと'きの/えーぞーで'わ、ぼ'ーとで/た'った/のりくみ'いんの/あたま'が、さんがいの/てすり'の/た'かさに/あ'った。	そのときのえーぞーでわ、ぼーとでたったのりくみいんのあたまが、さんがいのてすりのたかさにあった。	auto
c909-1	q	そんなに近かったんだ。	そんなに'/ちか'かったんだ。	そんなにちかかったんだ。	auto
c909-2		その乗組員が1人で甲板に上がることは、十分にできたように見える。	その/のりくみ'いんが/ひと'りで/かんぱんに/あがること'わ、じゅーぶ'んに/で'きたよーに/みえ'る。	そののりくみいんがひとりでかんぱんにあがることわ、じゅーぶんにできたよーにみえる。	auto
c909-3		判決は、そう書く。	はんけつわ、そー/か'く。	はんけつわ、そーかく。	auto
c910-1		9時39分。機関長ら、機関部の船員7人が、海洋警察のボートに乗って船を離れた。	く'じ/さんじゅーきゅ'ーふん。きかんちょ'ーら、きかん'ぶの/せんいん/なな'にんが、かいよーけ'ーさつの/ぼ'ーとに/のって/ふ'ねを/はな'れた。	くじさんじゅーきゅーふん。きかんちょーら、きかんぶのせんいんななにんが、かいよーけーさつのぼーとにのってふねをはなれた。	auto
c910-2		機関長は、自分が船員だと言わないまま乗っていた。	きかん'ちょーわ、じぶんが/せんいんだ'と/いわな'いまま/のっていた'。	きかんちょーわ、じぶんがせんいんだといわないままのっていた。	auto
c911-1		判決では9時46分。船長ら甲板部の8人が、操舵室の前の123艇に乗り移った。	はんけつで'わ/く'じ/よんじゅーろ'っぷん。せんちょ'ーら/かんぱ'んぶの/はちに'んが、そーだ'しつの/ま'えの/ひゃくにじゅーさんてーに/のりうつ'った。	はんけつでわくじよんじゅーろっぷん。せんちょーらかんぱんぶのはちにんが、そーだしつのまえのひゃくにじゅーさんてーにのりうつった。	auto
c911-2		報告書では、このときの傾きは約61度だった。	ほーこくしょで'わ、このと'きの/かたむきわ/や'く/ろくじゅーいち'どだった。	ほーこくしょでわ、このときのかたむきわやくろくじゅーいちどだった。	auto
c912-1		判決は、そのときのことを、こう書いている。	はんけつわ、そのと'きのことを、こー/か'いている。	はんけつわ、そのときのことを、こーかいている。	auto
c912-2		船長らは、船員だと名乗らず123艇へ	せんちょ'ーらわ、せんいんだ'と/なの'らず/ひゃくにじゅーさんてーえ。	せんちょーらわ、せんいんだとなのらずひゃくにじゅーさんてーえ。	auto
c913-1	q	乗り移ったあとは？	のりうつった'あとわ？	のりうつったあとわ？	auto
c913-2		船長たちは、乗客が船内で待っていることを、海洋警察に伝えなかった。	せ'んちょーたちわ、じょーきゃくが/せ'んないで/ま'っていることを、かいよーけ'ーさつに/つたえな'かった。	せんちょーたちわ、じょーきゃくがせんないでまっていることを、かいよーけーさつにつたえなかった。	auto
c914-1		9時47分に3階の、9時50分に4階の手すりが、水につかった。	く'じ/よんじゅーなな'ふんに/さんがいの、く'じ/ごじゅ'っぷんに/よんかいの/てすり'が、みずに/つかった'。	くじよんじゅーななふんにさんがいの、くじごじゅっぷんによんかいのてすりが、みずにつかった。	auto
c914-2		外へ出る道が、下の階から順にふさがっていく。	そ'とえ/で'る/みちが、したの/か'いから/じゅんに/ふさがっていく。	そとえでるみちが、したのかいからじゅんにふさがっていく。	auto
c915-1		報告書によれば、その9時50分に、船内へ最後の放送が流れた。	ほーこくしょに/よれ'ば、その/く'じ/ごじゅ'っぷんに、せ'んないえ/さ'いごの/ほーそーが/なが'れた。	ほーこくしょによれば、そのくじごじゅっぷんに、せんないえさいごのほーそーがながれた。	auto
c915-2		乗客に、船の中にとどまるよう求める放送だった。	じょーきゃくに、ふ'ねのなかに/とどま'るよー/もとめ'る/ほーそーだ'った。	じょーきゃくに、ふねのなかにとどまるよーもとめるほーそーだった。	auto
c916-1		10時6分ごろ、123艇の乗組員が、3階の客室の窓を割って、5人を助け出した。	じゅ'ーじ/ろっぷんご'ろ、ひゃくにじゅーさんてーの/のりくみ'いんが、さんがいの/きゃくしつの/ま'どを/わって、ごに'んを/たすけだ'した。	じゅーじろっぷんごろ、ひゃくにじゅーさんてーののりくみいんが、さんがいのきゃくしつのまどをわって、ごにんをたすけだした。	auto
c917-1		10時25分、報告書では、傾きは真横を越えて約108度。	じゅ'ーじ/にじゅーご'ふん、ほーこくしょで'わ、かたむきわ/まよこを/こえて/やくひゃくはち'ど。	じゅーじにじゅーごふん、ほーこくしょでわ、かたむきわまよこをこえてやくひゃくはちど。	auto
c917-2		船内の生徒が、最後のメッセージを送った時刻だ。	せ'んないの/せ'ーとが、さ'いごの/め'っせーじを/おくった'/じ'こくだ。	せんないのせーとが、さいごのめっせーじをおくったじこくだ。	auto
c918-1		そして10時31分。船首の先だけを残して、船は水面の下へ消えた。	そして/じゅ'ーじ/さんじゅーい'っぷん。せ'んしゅの/さきだけを/のこ'して、ふ'ねわ/すいめんの/したえ/きえた'。	そしてじゅーじさんじゅーいっぷん。せんしゅのさきだけをのこして、ふねわすいめんのしたえきえた。	auto
c918-2		写真は2日後。沈んだ場所のまわりに、クレーン船や海洋警察の船が集まっている。	しゃしんわ/ふつかご'。しずんだ'/ばしょの/まわりに、くれー'んせんや/かいよーけ'ーさつの/ふ'ねが/あつま'っている。	しゃしんわふつかご。しずんだばしょのまわりに、くれーんせんやかいよーけーさつのふねがあつまっている。	auto
c919-1		123艇にも、外へ呼びかける放送の設備があった。	ひゃくにじゅーさんてーに'も、そ'とえ/よびかけ'る/ほーそーの/せ'つびが/あ'った。	ひゃくにじゅーさんてーにも、そとえよびかけるほーそーのせつびがあった。	auto
c919-2	q	それで、呼びかけたの？	それで、よびか'けたの？	それで、よびかけたの？	auto
c919-3		いや、退船の放送はしなかった。判決は、それを艇長の過失と認めている。	いや'、たいせんの/ほーそーわ/しな'かった。はんけつわ、それを/て'ーちょーの/かしつと/みとめている'。	いや、たいせんのほーそーわしなかった。はんけつわ、それをてーちょーのかしつとみとめている。	auto
c920-1		事故のひと月ほどあと、艇長は、艇の日誌を書き直させた。	じ'この/ひとつきほど/あ'と、て'ーちょーわ、て'ーの/にっしを/かきなおさせた'。	じこのひとつきほどあと、てーちょーわ、てーのにっしをかきなおさせた。	auto
c920-2		9時35分に「乗客退船放送実施」と書かせたのだ。判決は、こう認めた。	く'じ/さんじゅーご'ふんに/じょーきゃくたいせんほーそーじ'っしと/かかせた'のだ。はんけつわ、こー/みとめた'。	くじさんじゅーごふんにじょーきゃくたいせんほーそーじっしとかかせたのだ。はんけつわ、こーみとめた。	auto
c920-3		123艇の日誌「退船放送実施」は虚偽	ひゃくにじゅーさんてーの/にっしたいせんほーそーじ'っしわ/きょ'ぎ。	ひゃくにじゅーさんてーのにっしたいせんほーそーじっしわきょぎ。	auto
ca01-1	q	セウォル号は、どうなる？	せうぉる'ごーわ、ど'ー/な'る？	せうぉるごーわ、どーなる？	auto
ca01-2		4月18日の12時57分。完全に海の下へ沈んだ。	しがつ'/じゅーはち'にちの/じゅーに'じ/ごじゅーなな'ふん。かんぜんに/う'みの/したえ/しずんだ'。	しがつじゅーはちにちのじゅーにじごじゅーななふん。かんぜんにうみのしたえしずんだ。	auto
ca01-3		韓国の海軍や海洋警察、アメリカ海軍などの捜索は、何週間も続いた。	か'んこくの/か'いぐんや/かいよーけ'ーさつ、あめりかか'いぐんなどの/そーさくわ、なんしゅ'ーかんも/つずいた'。	かんこくのかいぐんやかいよーけーさつ、あめりかかいぐんなどのそーさくわ、なんしゅーかんもつずいた。	auto
ca02-1		この章では、報告書の表8で、人の数を確かめる。	この/しょ'ーでわ、ほーこくしょの/ひょー'/はち'で、ひとの/か'ずを/たしかめ'る。	このしょーでわ、ほーこくしょのひょーはちで、ひとのかずをたしかめる。	auto
ca02-2		数は、2014年11月18日の時点のものだ。	か'ずわ、にせんじゅーよ'ねん/じゅーいちがつ'/じゅーはち'にちの/じ'てんのものだ。	かずわ、にせんじゅーよねんじゅーいちがつじゅーはちにちのじてんのものだ。	auto
ca03-1		乗っていた476人のうち、救助されたのは172人。	のっていた'/よんひゃくななじゅーろくに'んのうち、きゅーじょされた'のわ/ひゃくななじゅーにに'ん。	のっていたよんひゃくななじゅーろくにんのうち、きゅーじょされたのわひゃくななじゅーににん。	auto
ca03-2		亡くなったのは295人、行方不明は9人。あわせて304人だ。	なくなった'のわ/にひゃくきゅーじゅーごに'ん、ゆくえ/ふめーわ/きゅーに'ん。あわ'せて/さんびゃくよに'んだ。	なくなったのわにひゃくきゅーじゅーごにん、ゆくえふめーわきゅーにん。あわせてさんびゃくよにんだ。	auto
ca04-1		修学旅行の生徒325人のうち、救助されたのは75人。	しゅーがくりょ'こーの/せ'ーと/さんびゃくにじゅーごに'んのうち、きゅーじょされた'のわ/ななじゅーごに'ん。	しゅーがくりょこーのせーとさんびゃくにじゅーごにんのうち、きゅーじょされたのわななじゅーごにん。	auto
ca04-2		246人が亡くなり、4人が行方不明になった。	にひゃくよんじゅーろくに'んが/なくなり、よに'んが/ゆくえ/ふめーに/な'った。	にひゃくよんじゅーろくにんがなくなり、よにんがゆくえふめーになった。	auto
ca05-1		先生は14人のうち、9人が亡くなり、2人が行方不明になった。	せんせ'ーわ/じゅーよに'んのうち、きゅーに'んが/なくなり、ふたり'が/ゆくえ/ふめーに/な'った。	せんせーわじゅーよにんのうち、きゅーにんがなくなり、ふたりがゆくえふめーになった。	auto
ca05-2		一般の乗客は104人のうち、30人が亡くなり、3人が行方不明に。	いっぱんの/じょーきゃくわ/ひゃくよに'んのうち、さんじゅーに'んが/なくなり、さんに'んが/ゆくえ/ふめーに。	いっぱんのじょーきゃくわひゃくよにんのうち、さんじゅーにんがなくなり、さんにんがゆくえふめーに。	auto
ca06-1		船で働いていた33人のうち、救助は23人。	ふ'ねで/はたらいていた'/さんじゅーさんに'んのうち、きゅ'ーじょわ/にじゅーさんに'ん。	ふねではたらいていたさんじゅーさんにんのうち、きゅーじょわにじゅーさんにん。	auto
ca06-2		亡くなった10人は、調理や事務の係と、アルバイトなどが5人ずつだ。	なくなった'/じゅーに'んわ、ちょ'ーりや/じ'むの/か'かりと、あるば'いとなどが/ごにんず'つだ。	なくなったじゅーにんわ、ちょーりやじむのかかりと、あるばいとなどがごにんずつだ。	auto
ca07-1	q	船を動かす船員は？	ふ'ねを/うごか'す/せんいんわ？	ふねをうごかすせんいんわ？	auto
ca07-2		15人の全員が、助かっている。	じゅーごに'んの/ぜんい'んが、たすか'っている。	じゅーごにんのぜんいんが、たすかっている。	auto
ca07-3		船長たちと機関部の船員は、警備艇とそのボートで、先に船を離れていた。	せ'んちょーたちと/きかん'ぶの/せんいんわ、けーびてーと/その/ぼ'ーとで、さきに/ふ'ねを/はな'れていた。	せんちょーたちときかんぶのせんいんわ、けーびてーとそのぼーとで、さきにふねをはなれていた。	auto
ca08-1		救助の専門の部隊が着いたのは、船が沈んだあとだった。	きゅ'ーじょの/せんもんの/ぶ'たいが/つ'いたのわ、ふ'ねが/しずんだ'あとだった。	きゅーじょのせんもんのぶたいがついたのわ、ふねがしずんだあとだった。	auto
ca08-2		海洋警察の特殊部隊はヘリで11時28分に、救助隊は漁船で12時19分に着いた。	かいよーけ'ーさつの/とくしゅぶ'たいわ/へ'りで/じゅーいち'じ/にじゅーは'っぷんに、きゅーじょたいわ/ぎょせんで/じゅーに'じ/じゅーきゅ'ーふんに/つ'いた。	かいよーけーさつのとくしゅぶたいわへりでじゅーいちじにじゅーはっぷんに、きゅーじょたいわぎょせんでじゅーにじじゅーきゅーふんについた。	auto
ca09-1	q	判決では、人数は？	はんけつで'わ、に'んずーわ？	はんけつでわ、にんずーわ？	auto
ca09-2		船長の殺人の罪は303人。起訴の304人から、1人が外された。	せ'んちょーの/さつじんの/つ'みわ/さんびゃくさんに'ん。き'その/さんびゃくよに'んから、ひと'りが/はずされた'。	せんちょーのさつじんのつみわさんびゃくさんにん。きそのさんびゃくよにんから、ひとりがはずされた。	auto
ca09-3		殺人未遂は152人。救助されてけがをした人の数で、救助の総数ではない。	さつじんみ'すいわ/ひゃくごじゅーにに'ん。きゅーじょされて/けがをした'/ひとの/か'ずで、きゅ'ーじょの/そーす'ーでわない。	さつじんみすいわひゃくごじゅーににん。きゅーじょされてけがをしたひとのかずで、きゅーじょのそーすーでわない。	auto
ca10-1		捜索は、5月に入っても続いた。	そーさくわ、ご'がつに/は'いっても/つずいた'。	そーさくわ、ごがつにはいってもつずいた。	auto
ca10-2		島を背にした海が、捜索の船で埋まっている。	しま'を/せ'にした/う'みが、そーさくの/ふ'ねで/うまっている'。	しまをせにしたうみが、そーさくのふねでうまっている。	auto
ca11-1		アメリカ軍も、艦と航空機を出して、捜索に加わった。	あめりか'ぐんも、か'んと/こーく'ーきを/だ'して、そーさくに/くわわった'。	あめりかぐんも、かんとこーくーきをだして、そーさくにくわわった。	auto
ca12-1		奥の平たい船に掲げられた幕には、こう書かれている。	お'くの/ひらたい/ふ'ねに/かかげら'れた/まく'にわ、こー/かかれている'。	おくのひらたいふねにかかげられたまくにわ、こーかかれている。	auto
ca12-2		「あなたは、私たちの子どもの最後の希望です」	あな'たわ、わたし'たちの/こどもの/さ'いごの/きぼーで'す。	あなたわ、わたしたちのこどものさいごのきぼーです。	auto
ca13-1		流れの速い海で、潜水員たちは、沈んだ船の中を探し続けた。	ながれ'の/はや'い/う'みで、せんすい'いんたちわ、しずんだ'/ふ'ねのなかを/さがしつずけた'。	ながれのはやいうみで、せんすいいんたちわ、しずんだふねのなかをさがしつずけた。	auto
ca14-1		夜も、照明弾の明かりの下で、捜索は続いた。	よ'るも、しょーめ'ーだんの/あかりの/したで、そーさくわ/つずいた'。	よるも、しょーめーだんのあかりのしたで、そーさくわつずいた。	auto
ca14-2	q	裁判は、どうなったの？	さ'いばんわ、ど'ー/な'ったの？	さいばんわ、どーなったの？	auto
